Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3179;David Luque 480;Sarmiento y Catamarca;63 Reg -;-31,411748;-64,169254
C3180;Pringles 650;Oncativo y Libertad;63 Reg -;-31,409418;-64,168825
C3182;Pringles 1019;Juan de Garay y Buchardo;63 Reg -;-31,406011;-64,170091
C3184;Pringles 1264;Charcas y Cochabamba;63 Reg -;-31,403127;-64,171115
C3186;Potosi 1392;Jacinto Rios y Viamonte;63 Reg -;-31,401186;-64,169999
C3188;Felipe II 1297;Mauricio Yadarola y Abad e Illana;63 Reg -;-31,394418;-64,157066
C3190;Felipe II 1486;Tissera y Moscoso;63 Reg -;-31,39151;-64,154588
C3192;Felipe II 1700;Puerto de Palos y Paysandu;63 Reg -;-31,390205;-64,151852
C3194;Tarija 2286;Felipe II y Juan XXIII;63 Reg -;-31,388886;-64,151873
C3196;Tarija 2495;Carlos III y Levillier;63 Reg -;-31,389784;-64,150435
C3198;Rancagua 1682;Tarija y Calabalumba;63 Reg -;-31,391011;-64,14784
C3200;Calabalumba 1892;Rancagua y Chilavert;63 Reg -;-31,390736;-64,146895
C3202;Chilavert 1784;Caraglio y Tridentina;63 Reg -;-31,389253;-64,146488
C3206;Victor Manuel III 1893;Tridentina y Ocampis;63 Reg -;-31,38797;-64,145243
C3208;Victor Manuel III 2092;Quilambe y Tinta;63 Reg -;-31,385937;-64,145157
C3210;Diaz Colodrero 2244;Astorga y Mallorca;63 Reg -;-31,384105;-64,144857
C3212;Diaz Colodrero 2370;Mallorca y Dos Barrios;63 Reg -;-31,382713;-64,144836
C3214;Dos Barrios 2000;Huberman y Diaz Gomez;63 Reg -;-31,382163;-64,14387
C3216;Leon y Pizarro 2296;Oscariz Beaumont y Liendo;63 Reg -;-31,381357;-64,141595
C3218;Liendo 2600;Leon y Pizarro y Brum;63 Reg -;-31,379763;-64,140393
C3220;Brum 2350;Ledesma y Celestino Vidal;63 Reg -;-31,37959;-64,140227
C3222;Capdevila 2200;Celestino Vidal y Escalada;63 Reg -;-31,378857;-64,141231
C3224;Capdevila 2045;Postorino y Diaz Colodrero;63 Reg -;-31,379471;-64,144477
C3226;Diaz Colodrero 2798;Capdevila y Usandivaras;63 Reg -;-31,378124;-64,144579
C3230;Diaz Colodrero 3080;Rauch Esquina de la Plaza;63 Reg -;-31,374954;-64,144408
C3232;Diaz Colodrero 3196;Esquina de la Plaza y Arredondo;63 Reg -;-31,373159;-64,144601
C3236;Diaz Colodrero 3396;Abramo y Rocamora;63 Reg -;-31,371387;-64,144616
C3238;Diaz Colodrero 3600;Vega y Villegas;63 Reg -;-31,369422;-64,144621
C3240;Villegas 2144;Pastorino y Muzlera;63 Reg -;-31,369005;-64,142416
C3242;Villegas 2288;Sanguinetto y Celestino Vidal;63 Reg -;-31,369028;-64,140168
C3244;Villegas 2394;Medina y Torres y Julio de Vedia;63 Reg -;-31,369037;-64,138505
C3246;Aviador Kinsgley 1355;Figueroa y Guemes;62 Reg - 65 Reg -;-31,421733;-64,246995
